seed,baseline_value,aug_value,difference_aug_minus_baseline
2,0.9579288025889967,0.9838187702265372,0.02588996763754048
3,0.9935275080906149,0.9773462783171522,-0.016181229773462702
5,0.9223300970873787,0.9902912621359223,0.06796116504854366
6,0.948220064724919,0.9158576051779935,-0.032362459546925515
7,0.9838187702265372,0.9741100323624595,-0.009708737864077666
10,0.9061488673139159,0.9288025889967637,0.02265372168284785
12,0.9838187702265372,0.9579288025889967,-0.02588996763754048
20,0.9838187702265372,0.8543689320388349,-0.12944983818770228
33,0.9838187702265372,0.941747572815534,-0.04207119741100318
44,0.9223300970873787,0.9255663430420712,0.003236245954692518
