seed,baseline_value,aug_value,difference_aug_minus_baseline
2,0.9579288025889967,0.9449838187702265,-0.012944983818770184
3,0.9935275080906149,0.9935275080906149,0.0
5,0.9223300970873787,0.9546925566343042,0.032362459546925515
6,0.948220064724919,0.9838187702265372,0.035598705501618144
7,0.9838187702265372,0.9838187702265372,0.0
10,0.9061488673139159,0.9223300970873787,0.016181229773462813
12,0.9838187702265372,0.9838187702265372,0.0
20,0.9838187702265372,0.9773462783171522,-0.006472491909385036
33,0.9838187702265372,0.9838187702265372,0.0
44,0.9223300970873787,0.9741100323624595,0.051779935275080846
