seed,baseline_value,aug_value,difference_aug_minus_baseline
2,0.9579288025889967,0.9093851132686084,-0.04854368932038833
3,0.9935275080906149,0.9838187702265372,-0.009708737864077666
5,0.9223300970873787,0.9805825242718447,0.058252427184465994
6,0.948220064724919,0.9223300970873787,-0.025889967637540368
7,0.9838187702265372,0.883495145631068,-0.10032362459546917
10,0.9061488673139159,0.9838187702265372,0.07766990291262132
12,0.9838187702265372,0.9902912621359223,0.006472491909385147
20,0.9838187702265372,0.9902912621359223,0.006472491909385147
33,0.9838187702265372,0.9644012944983819,-0.01941747572815533
44,0.9223300970873787,0.9611650485436893,0.03883495145631066
