seed,baseline_value,aug_value,difference_aug_minus_baseline
2,0.9413773477518498,0.9413773477518498,0.0
3,0.9402390438247012,0.9379624359704041,-0.0022766078542971746
5,0.9430848036425725,0.935685828116107,-0.007398975526465512
6,0.9453614114968697,0.9396698918611269,-0.00569151963574277
7,0.9311326124075128,0.9396698918611269,0.008537279453614155
10,0.9385315879339784,0.9379624359704041,-0.0005691519635743214
12,0.9385315879339784,0.9373932840068299,-0.0011383039271485318
20,0.9464997154240182,0.9402390438247012,-0.00626067159931698
33,0.9368241320432555,0.9254410927717701,-0.011383039271485429
44,0.9436539556061468,0.9402390438247012,-0.0034149117814455954
