seed,baseline_value,aug_value,difference_aug_minus_baseline
2,0.9413773477518498,0.9436539556061468,0.0022766078542970636
3,0.9402390438247012,0.9436539556061468,0.0034149117814455954
5,0.9430848036425725,0.9476380193511668,0.004553215708594238
6,0.9453614114968697,0.9459305634604439,0.0005691519635742104
7,0.9311326124075128,0.9396698918611269,0.008537279453614155
10,0.9385315879339784,0.9425156516789983,0.003984063745019917
12,0.9385315879339784,0.9391007398975526,0.0005691519635742104
20,0.9464997154240182,0.941946499715424,-0.004553215708594238
33,0.9368241320432555,0.9391007398975526,0.0022766078542970636
44,0.9436539556061468,0.9476380193511668,0.003984063745019917
