seed,baseline_value,aug_value,difference_aug_minus_baseline
2,0.9579288025889967,0.9320388349514563,-0.025889967637540368
3,0.9935275080906149,0.9514563106796117,-0.04207119741100318
5,0.9223300970873787,0.9935275080906149,0.07119741100323618
6,0.948220064724919,0.9385113268608414,-0.009708737864077666
7,0.9838187702265372,0.9805825242718447,-0.003236245954692518
10,0.9061488673139159,0.9320388349514563,0.02588996763754048
12,0.9838187702265372,0.9611650485436893,-0.02265372168284785
20,0.9838187702265372,0.9902912621359223,0.006472491909385147
33,0.9838187702265372,0.9514563106796117,-0.032362459546925515
44,0.9223300970873787,0.9352750809061489,0.012944983818770184
