seed,baseline_value,aug_value,difference_aug_minus_baseline
2,0.9413773477518498,0.9351166761525327,-0.006260671599317091
3,0.9402390438247012,0.919180421172453,-0.021058622652248227
5,0.9430848036425725,0.9299943084803642,-0.013090495162208282
6,0.9453614114968697,0.9288560045532157,-0.01650540694365399
7,0.9311326124075128,0.9396698918611269,0.008537279453614155
10,0.9385315879339784,0.9317017643710871,-0.006829823562891302
12,0.9385315879339784,0.9362549800796812,-0.0022766078542971746
20,0.9464997154240182,0.9379624359704041,-0.008537279453614155
33,0.9368241320432555,0.9317017643710871,-0.005122367672168449
44,0.9436539556061468,0.9322709163346613,-0.01138303927148554
