seed,baseline_value,aug_value,difference_aug_minus_baseline
2,0.9413773477518498,0.9339783722253842,-0.007398975526465623
3,0.9402390438247012,0.9368241320432555,-0.0034149117814457064
5,0.9430848036425725,0.9373932840068299,-0.005691519635742659
6,0.9453614114968697,0.9379624359704041,-0.007398975526465623
7,0.9311326124075128,0.9368241320432555,0.00569151963574277
10,0.9385315879339784,0.9231644849174729,-0.015367103016505457
12,0.9385315879339784,0.9362549800796812,-0.0022766078542971746
20,0.9464997154240182,0.9379624359704041,-0.008537279453614155
33,0.9368241320432555,0.9368241320432555,0.0
44,0.9436539556061468,0.9379624359704041,-0.00569151963574277
