seed,baseline_value,aug_value,difference_aug_minus_baseline
2,0.9413773477518498,0.916903813318156,-0.024473534433693822
3,0.9402390438247012,0.9317017643710871,-0.008537279453614155
5,0.9430848036425725,0.9362549800796812,-0.006829823562891302
6,0.9453614114968697,0.935685828116107,-0.009675583380762687
7,0.9311326124075128,0.9322709163346613,0.0011383039271485318
10,0.9385315879339784,0.9277177006260672,-0.010813887307911219
12,0.9385315879339784,0.916903813318156,-0.021627774615822437
20,0.9464997154240182,0.9339783722253842,-0.012521343198634072
33,0.9368241320432555,0.9368241320432555,0.0
44,0.9436539556061468,0.9151963574274331,-0.02845759817871374
