dataset_family,comparison_id,label,baseline_folder,aug_folder,seed,baseline_value,aug_value,difference_aug_minus_baseline
pneumonia,pneumonia_rotation_vs_limited_baseline,pneumonia: rotation vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_rotation_plot,7,0.9311326124075128,0.9396698918611269,0.008537279453614155
pneumonia,pneumonia_rotation_vs_limited_baseline,pneumonia: rotation vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_rotation_plot,10,0.9385315879339784,0.9317017643710871,-0.006829823562891302
pneumonia,pneumonia_rotation_vs_limited_baseline,pneumonia: rotation vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_rotation_plot,12,0.9385315879339784,0.9362549800796812,-0.0022766078542971746
pneumonia,pneumonia_rotation_vs_limited_baseline,pneumonia: rotation vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_rotation_plot,20,0.9464997154240182,0.9379624359704041,-0.008537279453614155
pneumonia,pneumonia_rotation_vs_limited_baseline,pneumonia: rotation vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_rotation_plot,33,0.9368241320432555,0.9317017643710871,-0.005122367672168449
pneumonia,pneumonia_rotation_vs_limited_baseline,pneumonia: rotation vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_rotation_plot,44,0.9436539556061468,0.9322709163346613,-0.01138303927148554
cells,cells_erase_vs_limited_baseline,cells: erase vs limited baseline,subset_baseline_plot,subset_erase_plot,2,0.9579288025889967,0.9449838187702265,-0.012944983818770184
cells,cells_erase_vs_limited_baseline,cells: erase vs limited baseline,subset_baseline_plot,subset_erase_plot,3,0.9935275080906149,0.9935275080906149,0.0
cells,cells_erase_vs_limited_baseline,cells: erase vs limited baseline,subset_baseline_plot,subset_erase_plot,5,0.9223300970873787,0.9546925566343042,0.032362459546925515
cells,cells_erase_vs_limited_baseline,cells: erase vs limited baseline,subset_baseline_plot,subset_erase_plot,6,0.948220064724919,0.9838187702265372,0.035598705501618144
cells,cells_erase_vs_limited_baseline,cells: erase vs limited baseline,subset_baseline_plot,subset_erase_plot,7,0.9838187702265372,0.9838187702265372,0.0
cells,cells_erase_vs_limited_baseline,cells: erase vs limited baseline,subset_baseline_plot,subset_erase_plot,10,0.9061488673139159,0.9223300970873787,0.016181229773462813
cells,cells_erase_vs_limited_baseline,cells: erase vs limited baseline,subset_baseline_plot,subset_erase_plot,12,0.9838187702265372,0.9838187702265372,0.0
cells,cells_erase_vs_limited_baseline,cells: erase vs limited baseline,subset_baseline_plot,subset_erase_plot,20,0.9838187702265372,0.9773462783171522,-0.006472491909385036
cells,cells_erase_vs_limited_baseline,cells: erase vs limited baseline,subset_baseline_plot,subset_erase_plot,33,0.9838187702265372,0.9838187702265372,0.0
cells,cells_erase_vs_limited_baseline,cells: erase vs limited baseline,subset_baseline_plot,subset_erase_plot,44,0.9223300970873787,0.9741100323624595,0.051779935275080846
pneumonia,pneumonia_erase_vs_limited_baseline,pneumonia: erase vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_erase_plot,2,0.9413773477518498,0.9436539556061468,0.0022766078542970636
pneumonia,pneumonia_erase_vs_limited_baseline,pneumonia: erase vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_erase_plot,3,0.9402390438247012,0.9436539556061468,0.0034149117814455954
pneumonia,pneumonia_erase_vs_limited_baseline,pneumonia: erase vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_erase_plot,5,0.9430848036425725,0.9476380193511668,0.004553215708594238
pneumonia,pneumonia_erase_vs_limited_baseline,pneumonia: erase vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_erase_plot,6,0.9453614114968697,0.9459305634604439,0.0005691519635742104
pneumonia,pneumonia_erase_vs_limited_baseline,pneumonia: erase vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_erase_plot,7,0.9311326124075128,0.9396698918611269,0.008537279453614155
pneumonia,pneumonia_erase_vs_limited_baseline,pneumonia: erase vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_erase_plot,10,0.9385315879339784,0.9425156516789983,0.003984063745019917
pneumonia,pneumonia_erase_vs_limited_baseline,pneumonia: erase vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_erase_plot,12,0.9385315879339784,0.9391007398975526,0.0005691519635742104
pneumonia,pneumonia_erase_vs_limited_baseline,pneumonia: erase vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_erase_plot,20,0.9464997154240182,0.941946499715424,-0.004553215708594238
pneumonia,pneumonia_erase_vs_limited_baseline,pneumonia: erase vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_erase_plot,33,0.9368241320432555,0.9391007398975526,0.0022766078542970636
pneumonia,pneumonia_erase_vs_limited_baseline,pneumonia: erase vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_erase_plot,44,0.9436539556061468,0.9476380193511668,0.003984063745019917
cells,cells_aug_vs_limited_baseline,cells: aug vs limited baseline,subset_baseline_plot,subset_aug_plot,2,0.9579288025889967,0.9838187702265372,0.02588996763754048
cells,cells_aug_vs_limited_baseline,cells: aug vs limited baseline,subset_baseline_plot,subset_aug_plot,3,0.9935275080906149,0.9773462783171522,-0.016181229773462702
cells,cells_aug_vs_limited_baseline,cells: aug vs limited baseline,subset_baseline_plot,subset_aug_plot,5,0.9223300970873787,0.9902912621359223,0.06796116504854366
cells,cells_aug_vs_limited_baseline,cells: aug vs limited baseline,subset_baseline_plot,subset_aug_plot,6,0.948220064724919,0.9158576051779935,-0.032362459546925515
cells,cells_aug_vs_limited_baseline,cells: aug vs limited baseline,subset_baseline_plot,subset_aug_plot,7,0.9838187702265372,0.9741100323624595,-0.009708737864077666
cells,cells_aug_vs_limited_baseline,cells: aug vs limited baseline,subset_baseline_plot,subset_aug_plot,10,0.9061488673139159,0.9288025889967637,0.02265372168284785
cells,cells_aug_vs_limited_baseline,cells: aug vs limited baseline,subset_baseline_plot,subset_aug_plot,12,0.9838187702265372,0.9579288025889967,-0.02588996763754048
cells,cells_aug_vs_limited_baseline,cells: aug vs limited baseline,subset_baseline_plot,subset_aug_plot,20,0.9838187702265372,0.8543689320388349,-0.12944983818770228
cells,cells_aug_vs_limited_baseline,cells: aug vs limited baseline,subset_baseline_plot,subset_aug_plot,33,0.9838187702265372,0.941747572815534,-0.04207119741100318
cells,cells_aug_vs_limited_baseline,cells: aug vs limited baseline,subset_baseline_plot,subset_aug_plot,44,0.9223300970873787,0.9255663430420712,0.003236245954692518
pneumonia,pneumonia_aug_vs_limited_baseline,pneumonia: aug vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_aug_plot,2,0.9413773477518498,0.9339783722253842,-0.007398975526465623
pneumonia,pneumonia_aug_vs_limited_baseline,pneumonia: aug vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_aug_plot,3,0.9402390438247012,0.9368241320432555,-0.0034149117814457064
pneumonia,pneumonia_aug_vs_limited_baseline,pneumonia: aug vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_aug_plot,5,0.9430848036425725,0.9373932840068299,-0.005691519635742659
pneumonia,pneumonia_aug_vs_limited_baseline,pneumonia: aug vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_aug_plot,6,0.9453614114968697,0.9379624359704041,-0.007398975526465623
pneumonia,pneumonia_aug_vs_limited_baseline,pneumonia: aug vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_aug_plot,7,0.9311326124075128,0.9368241320432555,0.00569151963574277
pneumonia,pneumonia_aug_vs_limited_baseline,pneumonia: aug vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_aug_plot,10,0.9385315879339784,0.9231644849174729,-0.015367103016505457
pneumonia,pneumonia_aug_vs_limited_baseline,pneumonia: aug vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_aug_plot,12,0.9385315879339784,0.9362549800796812,-0.0022766078542971746
pneumonia,pneumonia_aug_vs_limited_baseline,pneumonia: aug vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_aug_plot,20,0.9464997154240182,0.9379624359704041,-0.008537279453614155
pneumonia,pneumonia_aug_vs_limited_baseline,pneumonia: aug vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_aug_plot,33,0.9368241320432555,0.9368241320432555,0.0
pneumonia,pneumonia_aug_vs_limited_baseline,pneumonia: aug vs limited baseline,pneumonia_subset_baseline,pneumonia_flat_subset_aug_plot,44,0.9436539556061468,0.9379624359704041,-0.00569151963574277
