seed,baseline_value,aug_value,difference_aug_minus_baseline
2,0.9579288025889967,0.9546925566343042,-0.003236245954692518
3,0.9935275080906149,0.9514563106796117,-0.04207119741100318
5,0.9223300970873787,0.9935275080906149,0.07119741100323618
6,0.948220064724919,0.9579288025889967,0.009708737864077666
7,0.9838187702265372,0.9967637540453075,0.012944983818770295
10,0.9061488673139159,0.9385113268608414,0.032362459546925515
12,0.9838187702265372,0.9579288025889967,-0.02588996763754048
20,0.9838187702265372,0.9902912621359223,0.006472491909385147
33,0.9838187702265372,0.9579288025889967,-0.02588996763754048
44,0.9223300970873787,0.941747572815534,0.01941747572815533
